1.0000e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0975e-06 6.1588e-18 1.6333e-17 6.4312e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2045e-06 1.7326e-17 4.5794e-17 1.7945e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3219e-06 3.1730e-17 8.3557e-17 3.2584e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4508e-06 4.8814e-17 1.2802e-16 4.9674e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5923e-06 6.8321e-17 1.7840e-16 6.8870e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7475e-06 9.0128e-17 2.3431e-16 8.9982e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9179e-06 1.1416e-16 2.9558e-16 1.1291e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1049e-06 1.4032e-16 3.6224e-16 1.3761e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3101e-06 1.6842e-16 4.3440e-16 1.6410e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5354e-06 1.9813e-16 5.1231e-16 1.9241e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7826e-06 2.2902e-16 5.9628e-16 2.2260e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0539e-06 2.6092e-16 6.8669e-16 2.5476e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3516e-06 2.9387e-16 7.8399e-16 2.8899e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6784e-06 3.2805e-16 8.8867e-16 3.2539e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0370e-06 3.6364e-16 1.0013e-15 3.6411e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4306e-06 3.9297e-16 1.1222e-15 4.0526e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8626e-06 4.2019e-16 1.2520e-15 4.4899e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3367e-06 4.5088e-16 1.3907e-15 4.9546e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8570e-06 4.8626e-16 1.5379e-15 5.4480e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4281e-06 5.2992e-16 1.6928e-15 5.9718e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0548e-06 5.8711e-16 1.8545e-15 6.5274e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.7426e-06 6.5208e-16 2.0228e-15 7.1164e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
8.4975e-06 7.1125e-16 2.1978e-15 7.7402e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.3260e-06 7.5239e-16 2.3420e-15 8.4002e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0235e-05 7.7921e-16 2.4711e-15 9.0974e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1233e-05 7.8811e-16 2.6100e-15 9.8327e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2328e-05 7.8792e-16 2.7509e-15 1.0607e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e-05 7.7656e-16 2.9083e-15 1.1418e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4850e-05 7.5932e-16 3.0844e-15 1.2267e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6298e-05 7.3767e-16 3.2730e-15 1.3149e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7886e-05 7.1123e-16 3.4432e-15 1.4060e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
