8.8000e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.4481e-06 1.0683e-17 3.4758e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0144e-05 2.9643e-17 1.3166e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0891e-05 5.3488e-17 2.5971e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1693e-05 8.0979e-17 4.1015e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2555e-05 1.1141e-16 5.7858e-16 2.7802e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.3479e-05 1.4432e-16 7.6133e-16 1.1280e-16 0.0000e+00 0.0000e+00 0.0000e+00
1.4472e-05 1.7936e-16 9.5800e-16 2.2449e-16 0.0000e+00 0.0000e+00 0.0000e+00
1.5538e-05 2.1621e-16 1.1666e-15 3.5724e-16 0.0000e+00 0.0000e+00 0.0000e+00
1.6682e-05 2.5461e-16 1.3857e-15 5.0697e-16 0.0000e+00 0.0000e+00 0.0000e+00
1.7911e-05 2.9431e-16 1.6170e-15 6.6733e-16 0.0000e+00 0.0000e+00 0.0000e+00
1.9230e-05 3.3005e-16 1.8575e-15 8.3950e-16 0.0000e+00 0.0000e+00 0.0000e+00
2.0647e-05 3.6223e-16 2.1099e-15 1.0191e-15 0.0000e+00 0.0000e+00 0.0000e+00
2.2167e-05 3.9301e-16 2.3742e-15 1.2088e-15 0.0000e+00 0.0000e+00 0.0000e+00
2.3800e-05 4.2396e-16 2.6503e-15 1.4065e-15 0.0000e+00 0.0000e+00 0.0000e+00
2.5553e-05 4.5664e-16 2.9371e-15 1.6104e-15 0.0000e+00 0.0000e+00 0.0000e+00
2.7435e-05 4.9034e-16 3.2166e-15 1.8227e-15 0.0000e+00 0.0000e+00 0.0000e+00
2.9456e-05 5.2588e-16 3.4459e-15 2.0425e-15 0.0000e+00 0.0000e+00 0.0000e+00
3.1625e-05 5.6556e-16 3.6687e-15 2.2731e-15 0.0000e+00 0.0000e+00 0.0000e+00
3.3954e-05 6.0868e-16 3.8786e-15 2.5060e-15 0.0000e+00 0.0000e+00 0.0000e+00
3.6455e-05 6.5316e-16 4.0893e-15 2.7485e-15 0.0000e+00 0.0000e+00 0.0000e+00
3.9140e-05 6.9876e-16 4.3148e-15 2.9961e-15 0.0000e+00 0.0000e+00 0.0000e+00
4.2023e-05 7.4229e-16 4.5432e-15 3.2323e-15 0.0000e+00 0.0000e+00 0.0000e+00
4.5118e-05 7.7861e-16 4.8166e-15 3.4358e-15 0.0000e+00 0.0000e+00 0.0000e+00
4.8441e-05 8.0740e-16 5.1122e-15 3.6288e-15 0.0000e+00 0.0000e+00 0.0000e+00
5.2009e-05 8.2652e-16 5.4661e-15 3.8136e-15 9.1098e-18 0.0000e+00 0.0000e+00
5.5840e-05 8.3812e-16 5.8975e-15 4.0037e-15 3.9153e-17 0.0000e+00 0.0000e+00
5.9952e-05 8.4175e-16 6.3910e-15 4.1951e-15 8.2789e-17 0.0000e+00 0.0000e+00
6.4368e-05 8.3867e-16 6.9138e-15 4.3962e-15 1.3249e-16 0.0000e+00 0.0000e+00
6.9109e-05 8.3008e-16 7.3635e-15 4.5909e-15 1.8829e-16 0.0000e+00 0.0000e+00
7.4199e-05 8.1705e-16 7.7104e-15 4.8019e-15 2.4881e-16 0.0000e+00 0.0000e+00
7.9664e-05 8.0131e-16 7.9319e-15 5.0208e-15 3.1302e-16 0.0000e+00 0.0000e+00
8.5531e-05 7.8189e-16 8.0494e-15 5.2312e-15 3.8005e-16 0.0000e+00 0.0000e+00
9.1831e-05 7.6102e-16 8.0779e-15 5.4293e-15 4.4248e-16 0.0000e+00 0.0000e+00
9.8594e-05 7.3843e-16 8.0505e-15 5.6116e-15 5.0311e-16 0.0000e+00 0.0000e+00
1.0586e-04 7.1461e-16 7.9548e-15 5.7631e-15 5.6061e-16 0.0000e+00 0.0000e+00
1.1365e-04 6.8993e-16 7.8268e-15 5.8733e-15 6.1865e-16 0.0000e+00 0.0000e+00
1.2202e-04 6.6473e-16 7.6638e-15 5.9537e-15 6.7741e-16 0.0000e+00 0.0000e+00
