1.0000e-06 0.0000e+00 0.0000e+00
1.0975e-06 3.8477e-17 0.0000e+00
1.2045e-06 1.0839e-16 0.0000e+00
1.3219e-06 1.9872e-16 0.0000e+00
1.4508e-06 3.0601e-16 0.0000e+00
1.5923e-06 4.2865e-16 0.0000e+00
1.7475e-06 5.6596e-16 0.0000e+00
1.9179e-06 7.1784e-16 0.0000e+00
2.1049e-06 8.8454e-16 0.0000e+00
2.3101e-06 1.0666e-15 0.0000e+00
2.5354e-06 1.2648e-15 0.0000e+00
2.7826e-06 1.4802e-15 0.0000e+00
3.0539e-06 1.7138e-15 0.0000e+00
3.3516e-06 1.9670e-15 0.0000e+00
3.6784e-06 2.2411e-15 0.0000e+00
4.0370e-06 2.5378e-15 0.0000e+00
4.4306e-06 2.8586e-15 0.0000e+00
4.8626e-06 3.2055e-15 0.0000e+00
5.3367e-06 3.5803e-15 0.0000e+00
5.8570e-06 3.9851e-15 0.0000e+00
6.4281e-06 4.4223e-15 0.0000e+00
7.0548e-06 4.8942e-15 0.0000e+00
7.7426e-06 5.4037e-15 0.0000e+00
8.4975e-06 5.9537e-15 0.0000e+00
9.3260e-06 6.5475e-15 0.0000e+00
1.0235e-05 7.1890e-15 0.0000e+00
1.1233e-05 7.8821e-15 0.0000e+00
1.2328e-05 8.6309e-15 0.0000e+00
1.3530e-05 9.4386e-15 0.0000e+00
1.4850e-05 1.0306e-14 0.0000e+00
1.6298e-05 1.1228e-14 0.0000e+00
1.7886e-05 1.2197e-14 0.0000e+00
1.9630e-05 1.3079e-14 0.0000e+00
2.1544e-05 1.3798e-14 0.0000e+00
2.3645e-05 1.4514e-14 0.0000e+00
2.5950e-05 1.5221e-14 0.0000e+00
2.8480e-05 1.6047e-14 0.0000e+00
3.1257e-05 1.7070e-14 0.0000e+00
3.4305e-05 1.8256e-14 0.0000e+00
3.7649e-05 1.9746e-14 0.0000e+00
4.1320e-05 2.1322e-14 0.0000e+00
4.5349e-05 2.2693e-14 0.0000e+00
4.9770e-05 2.3723e-14 0.0000e+00
5.4623e-05 2.4254e-14 0.0000e+00
5.9948e-05 2.4438e-14 0.0000e+00
6.5793e-05 2.4203e-14 0.0000e+00
7.2208e-05 2.3778e-14 0.0000e+00
7.9248e-05 2.3156e-14 0.0000e+00
8.6975e-05 2.2394e-14 0.0000e+00
9.5455e-05 2.1567e-14 0.0000e+00
1.0476e-04 2.0666e-14 0.0000e+00
1.1498e-04 1.9698e-14 1.3229e-18
1.2619e-04 1.8734e-14 1.3807e-17
1.3849e-04 1.7764e-14 2.9117e-17
1.5199e-04 1.6801e-14 4.7705e-17
1.6681e-04 1.5854e-14 6.5774e-17
1.8307e-04 1.4932e-14 9.1639e-17
2.0092e-04 1.4047e-14 1.1240e-16
2.2051e-04 1.3186e-14 1.3817e-16
2.4201e-04 1.2361e-14 1.6789e-16
2.6561e-04 1.1579e-14 1.9081e-16
2.9151e-04 1.0829e-14 2.1901e-16
3.1993e-04 1.0117e-14 2.3822e-16
3.5112e-04 9.4474e-15 2.5904e-16
3.8535e-04 8.8115e-15 2.7473e-16
4.2292e-04 8.2143e-15 2.8629e-16
4.6416e-04 7.6503e-15 2.9375e-16
5.0941e-04 7.1220e-15 2.9749e-16
5.5908e-04 6.6249e-15 2.9392e-16
6.1359e-04 6.1602e-15 2.9203e-16
6.7342e-04 5.7242e-15 2.8531e-16
7.3907e-04 5.3174e-15 2.7608e-16
8.1113e-04 4.9372e-15 2.6685e-16
8.9022e-04 4.5818e-15 2.5694e-16
9.7701e-04 4.2508e-15 2.4313e-16
1.0723e-03 3.9419e-15 2.3247e-16
1.1768e-03 3.6546e-15 2.1910e-16
1.2915e-03 3.3869e-15 2.0940e-16
1.4175e-03 3.1381e-15 1.9694e-16
1.5557e-03 2.9066e-15 1.8510e-16
1.7074e-03 2.6917e-15 1.7410e-16
1.8738e-03 2.4920e-15 1.6356e-16
2.0565e-03 2.3066e-15 1.5368e-16
2.2570e-03 2.1346e-15 1.4445e-16
2.4771e-03 1.9751e-15 1.3351e-16
2.7186e-03 1.8271e-15 1.2563e-16
2.9836e-03 1.6900e-15 1.1625e-16
3.2745e-03 1.5629e-15 1.0955e-16
3.5938e-03 1.4453e-15 1.0144e-16
3.9442e-03 1.3363e-15 9.4008e-17
4.3288e-03 1.2354e-15 8.7143e-17
4.7508e-03 1.1421e-15 8.0842e-17
5.2140e-03 1.0557e-15 7.5063e-17
5.7224e-03 9.7588e-16 6.9785e-17
6.2803e-03 9.0203e-16 6.4927e-17
6.8926e-03 8.3377e-16 6.0475e-17
7.5646e-03 7.7068e-16 5.6405e-17
8.3022e-03 7.1238e-16 5.2661e-17
9.1116e-03 6.5854e-16 4.8128e-17
1.0000e-02 6.0881e-16 4.5050e-17
